Path,Plant name,Volume,Dim_X,Dim_Y,Dim_Z,Cumul_Area,Font_Area_Ratio,Left_Area_Ratio,Top_Area_Ratio,Code_Error,Model issue,Cause
D:\Clement\3D_Digitalisation\2025-05-13_Harvest_Nicotina_benthamiana\02_Metashape_BatchProc_withConfidence,Metashape_NB018_S34_20250613_0121.ply,0.00192,0.451,0.327,0.684,0.335,0.224,0.283,0.455,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD011_S34_20250612_1705.ply,0.00003,0.114,0.116,0.213,0.025,0.230,0.188,0.419,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD012_S30_20250612_1717.ply,0.00023,0.158,0.206,0.633,0.062,0.176,0.157,0.428,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD014_S22_20250612_1731.ply,0.00003,0.172,0.186,0.504,0.032,0.094,0.088,0.318,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD016_S34_20250612_1759.ply,0.00001,0.086,0.077,0.050,0.005,0.166,0.203,0.243,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD017_S34_20250612_1808.ply,0.00006,0.259,0.403,0.879,0.091,0.137,0.094,0.315,0,Bad alignment,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD018_S34_20250612_1820.ply,0.00005,0.253,0.200,0.175,0.008,0.087,0.079,0.087,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD019_S22_20250612_1829.ply,0.00002,0.227,0.111,0.188,0.012,0.080,0.125,0.183,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD019_S30_20250612_1837.ply,0.00042,0.347,0.306,0.767,0.159,0.183,0.179,0.296,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD021_S30_20250612_1853.ply,0.00047,0.381,0.299,0.819,0.116,0.105,0.156,0.285,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA015_S38_20250613_1907.ply,0.000,0.271,0.375,1.257,0.130,0.151,0.111,0.267,4,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD021_S34_20250612_1903.ply,0.00001,0.088,0.098,0.125,0.009,0.160,0.145,0.335,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD024_S30_20250612_1912.ply,0.00263,0.511,0.227,1.292,0.187,0.102,0.195,0.385,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA017_S26_20250613_1949.ply,0.000,0.709,0.384,0.303,0.128,0.171,0.163,0.123,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA017_S30_20250613_2000.ply,0.000,0.172,0.195,0.463,0.054,0.204,0.170,0.507,4,,
