Path,Plant name,Volume,Dim_X,Dim_Y,Dim_Z,Cumul_Area,Font_Area_Ratio,Left_Area_Ratio,Top_Area_Ratio,Code_Error,Model issue,Cause
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL006_S38_20250616_1232.ply,0.003,0.696,0.856,1.280,0.661,0.176,0.157,0.254,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR017_S26_20250613_1614.ply,0.00009,0.173,0.233,0.714,0.062,0.187,0.131,0.257,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL008_S30_20250616_1252.ply,0.012,1.207,1.122,2.849,1.411,0.128,0.132,0.281,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR017_S34_20250613_1623.ply,0.00004,0.100,0.145,0.461,0.031,0.200,0.156,0.293,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR019_S30_20250613_1641.ply,0.00010,0.273,0.143,0.213,0.028,0.157,0.207,0.209,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR020_S26_20250613_1651.ply,0.00007,0.203,0.188,0.701,0.034,0.081,0.109,0.193,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR020_S30_20250613_1700.ply,0.00024,0.268,0.200,0.480,0.051,0.115,0.126,0.329,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL014_S30_20250616_1341.ply,0.466,3.865,6.693,9.313,19.966,0.162,0.099,0.213,2,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL014_S38_20250616_1351.ply,0.001,0.403,0.476,0.792,0.296,0.240,0.170,0.323,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL015_S30_20250616_1401.ply,0.336,6.042,1.953,2.259,7.087,0.148,0.306,0.169,5,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL016_S30_20250616_1412.ply,0.001,1.226,0.432,0.476,0.347,0.173,0.339,0.182,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR021_S34_20250613_1711.ply,0.00008,0.140,0.244,0.367,0.034,0.192,0.128,0.226,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL018_S22_20250616_1432.ply,12.055,15.092,6.073,5.974,60.094,0.162,0.300,0.167,5,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR023_S34_20250613_1724.ply,0.00004,0.132,0.118,0.517,0.038,0.175,0.207,0.310,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR026_S34_20250613_1735.ply,0.00006,0.061,0.223,0.535,0.022,0.198,0.069,0.219,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL020_S22_20250616_1504.ply,0.127,6.562,2.886,3.591,11.197,0.126,0.204,0.134,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR028_S34_20250613_1745.ply,0.00009,0.164,0.122,0.397,0.034,0.165,0.208,0.241,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL021_S22_20250616_1525.ply,0.036,2.851,1.410,2.429,3.063,0.131,0.189,0.199,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL021_S26_20250616_1535.ply,0.000,0.701,0.657,1.483,0.667,0.183,0.167,0.270,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL021_S30_20250616_1545.ply,0.146,4.020,1.645,1.339,2.730,0.140,0.315,0.126,2,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR029_S38_20250613_1756.ply,0.00005,0.175,0.162,0.341,0.029,0.158,0.166,0.219,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL022_S22_20250616_1608.ply,1.010,1.041,1.360,2.027,2.586,0.334,0.267,0.511,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL022_S30_20250616_1617.ply,0.188,3.087,2.288,1.436,3.312,0.194,0.232,0.166,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL023_S22_20250708_1456.ply,0.000,0.218,0.223,0.699,0.097,0.191,0.189,0.361,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_BR030_S38_20250613_1808.ply,0.00005,0.156,0.091,0.167,0.010,0.116,0.208,0.185,0,Bad alignment,Upside down (very small plant)
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS001_S22_20250613_1150.ply,0.00007,0.336,0.414,0.343,0.050,0.154,0.137,0.119,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL025_S22_20250616_1711.ply,0.000,0.469,0.657,1.295,0.320,0.146,0.111,0.208,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL025_S30_20250616_1723.ply,0.015,0.968,0.935,2.214,1.178,0.159,0.185,0.302,4,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS001_S30_20250613_0938.ply,0.00026,0.244,0.440,0.374,0.051,0.155,0.108,0.208,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS001_S34_20250613_0946.ply,0.00011,0.245,0.221,0.381,0.041,0.152,0.159,0.123,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS002_S30_20250613_0955.ply,0.00006,0.423,0.261,0.490,0.045,0.082,0.121,0.101,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL029_S22_20250616_1813.ply,0.001,0.789,0.291,0.311,0.110,0.134,0.249,0.120,5,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS002_S34_20250613_1006.ply,0.00011,0.176,0.301,0.454,0.040,0.176,0.116,0.131,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL030_S22_20250708_1444.ply,0.571,7.196,4.060,3.360,16.736,0.176,0.251,0.147,4,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS002_S38_20250613_1015.ply,0.00004,0.161,0.249,0.363,0.017,0.103,0.073,0.078,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS003_S22_20250613_1158.ply,0.00005,0.329,0.430,0.369,0.060,0.154,0.143,0.149,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS003_S34_20250613_1023.ply,0.00010,0.303,0.455,0.377,0.057,0.147,0.125,0.107,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS003_S38_20250613_1030.ply,0.00001,0.082,0.041,0.360,0.007,0.093,0.172,0.104,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS004_S34_20250613_1041.ply,0.00002,0.209,0.067,0.232,0.013,0.085,0.220,0.149,0,,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS007_S22_20250613_1210.ply,0.00060,0.321,0.314,0.826,0.073,0.079,0.109,0.151,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_HS007_S22_20250616_1022.ply,0.00030,0.132,0.079,0.985,0.081,0.235,0.262,0.386,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS007_S30_20250613_1048.ply,0.00067,0.289,0.306,0.649,0.064,0.136,0.115,0.212,0,,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS008_S22_20250613_1217.ply,0.00197,0.216,0.260,1.096,0.188,0.241,0.207,0.370,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS008_S38_20250613_1056.ply,0.00006,0.180,0.298,0.481,0.025,0.091,0.083,0.081,0,Bad alignment,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS009_S22_20250613_1224.ply,0.00052,0.349,0.334,0.945,0.049,0.067,0.069,0.129,0,Slight alignment issue,Wrong cup detection
D:\Clement\3D_Digitalisation\2025-05-13_Harvest_Nicotina_benthamiana\02_Metashape_BatchProc_withConfidence,Metashape_NB011_S26_20250612_2249.ply,0.001,0.332,0.352,0.634,0.267,0.255,0.220,0.561,4,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS009_S38_20250613_1112.ply,0.00007,0.253,0.372,0.778,0.050,0.082,0.088,0.123,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS010_S30_20250613_1121.ply,0.00013,0.315,0.187,0.775,0.053,0.080,0.119,0.195,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS010_S34_20250613_1132.ply,0.00096,0.322,0.447,0.878,0.188,0.229,0.158,0.303,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS010_S38_20250613_1141.ply,0.00002,0.061,0.123,0.492,0.023,0.204,0.141,0.204,0,,
D:\Clement\3D_Digitalisation\2025-05-13_Harvest_Nicotina_benthamiana\02_Metashape_BatchProc_withConfidence,Metashape_NB004_S30_20250612_2048.ply,0.00118,0.385,0.461,0.741,0.355,0.237,0.205,0.375,0,,
D:\Clement\3D_Digitalisation\2025-05-13_Harvest_Nicotina_benthamiana\02_Metashape_BatchProc_withConfidence,Metashape_NB005_S26_20250612_2100.ply,0.00211,0.329,0.305,0.710,0.198,0.187,0.212,0.522,0,,
D:\Clement\3D_Digitalisation\2025-05-13_Harvest_Nicotina_benthamiana\02_Metashape_BatchProc_withConfidence,Metashape_NB005_S30_20250612_2110.ply,0.00214,0.452,0.416,0.733,0.432,0.239,0.268,0.422,0,,
